Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2012950006058,303070,673950,-3.553739,55.948819,95,3,2,1,30/10/2012,3,07:57:00,940,S12000040,6,16,6,30,0,-1,-1,0,0,0,1,8,2,0,0,2,2,
2012950006059,355390,630520,-2.708923,55.566336,95,3,1,1,30/10/2012,3,09:00:00,914,S12000026,4,6398,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,
2012950006061,327310,671650,-3.165061,55.93244,95,3,4,1,30/10/2012,3,09:00:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
2012950006064,357850,633400,-2.670359,55.592432,95,3,3,3,29/10/2012,2,15:45:00,914,S12000026,3,68,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,
2012950006067,328470,674150,-3.147161,55.955072,95,3,2,1,30/10/2012,3,17:30:00,923,S12000036,3,1140,6,30,0,-1,-1,0,0,4,5,2,2,0,0,1,2,
2012950006068,324320,675970,-3.214121,55.970784,95,3,2,1,30/10/2012,3,16:50:00,923,S12000036,6,0,6,30,9,2,3,903,0,5,4,2,2,0,0,1,1,
2012950006069,322420,673180,-3.243752,55.945419,95,2,2,3,29/10/2012,2,15:50:00,923,S12000036,3,8,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,
2012950006071,325360,673860,-3.196877,55.951993,95,3,1,1,26/10/2012,6,15:14:00,923,S12000036,3,8,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,
2012950006076,317990,670210,-3.31376,55.918004,95,3,2,1,31/10/2012,4,11:25:00,923,S12000036,3,71,1,40,1,4,5,0,0,0,1,2,2,0,0,2,1,
2012950006084,302250,667010,-3.564352,55.88632,95,3,2,4,31/10/2012,4,17:20:00,940,S12000040,3,705,6,30,1,4,6,0,0,0,4,2,2,0,0,2,1,
2012950006085,293300,660720,-3.704897,55.827928,95,3,2,2,31/10/2012,4,15:20:00,940,S12000040,6,0,6,30,9,4,6,0,0,0,1,2,2,0,0,2,1,
